keys,corridor_welfareStationEast_rescueStationSouth,corridor_constructionYardNorth_squareNorth,rescueStationSouth,securityCheckEast,corridor_observatory_outerBarrierWest,corridor_excavationShaftB_rescueStationSouth,bioengineeringHeadquarters,corridor_miningSchool_squareSouth,farm,industryHeadquarters,diamondShop,electrolysisStationSouth,outerBarrierWest,corridor_recycleFacilityEast_rescueStationNorth,corridor_rescueStationWest_mainControlRoom,corridor_squareSouth_mainControlRoom,tankArray,corridor_recycleFacilityEast_tankArray,excavationShaftB,recycleFacilityWest,corridor_squareSouth_securityCheckCenter,excavationShaftA,corridor_securityCheckEast_rescueStationNorth,corridor_constructionYardSouth_excavationShaftB,corridor_outerBarrierCenter_outerBarrierWest,corridor_constructionYardSouth_techSchool,corridor_securityCheckWest_squareNorth,corridor_mainControlRoom_rescueStationWest,corridor_reservoirWest_excavationShaftA,corridor_securityCheckWest_excavationShaftA,corridor_rescueStationSouth_miningSchool,outerBarrierCenter,corridor_rescueStationNorth_securityCheckEast,miningHeadquarters,observatory,corridor_mainControlRoom_squareSouth,outerBarrierEast,corridor_reservoirEast_mainControlRoom,corridor_miningSchool_securityCheckEast,corridor_squareSouth_rescueStationSouth,corridor_mainControlRoom_reservoirEast,corridor_outerBarrierEast_asteroidMine,corridor_squareSouth_miningSchool,corridor_rescueStationSouth_excavationShaftB,cemetery,theEngine,corridor_outerBarrierWest_observatory,miningSchool,fineFoodStore-1,welfareStationWest,corridor_securityCheckCenter_market,corridor_recycleFacilityWest_outerBarrierWest,reservoirWest,corridor_outerBarrierCenter_spacePort,corridor_electrolysisStationNorth_recycleFacilityWest,corridor_outerBarrierCenter_outerBarrierEast,corridor_recycleFacilityWest_electrolysisStationNorth,corridor_squareNorth_recycleFacilityWest,corridor_rescueStationSouth_squareSouth,corridor_market_constructionYardNorth,corridor_market_rescueStationNorth,interiorHeadquarters,recycleFacilityEast,safetyHeadquarters,corridor_excavationShaftB_constructionYardSouth,rescueStationWest,techSchool,spacePort,welfareStationEast,corridor_squareSouth_electrolysisStationSouth,corridor_electrolysisStationSouth_reservoirEast,corridor_squareNorth_securityCheckWest,corridor_miningSchool_excavationShaftB,securityCheckCenter,asteroidMine,corridor_miningSchool_rescueStationSouth,corridor_spacePort_outerBarrierCenter,corridor_constructionYardNorth_market,tavern,corridor_outerBarrierWest_outerBarrierCenter,corridor_cemetery_securityCheckEast,corridor_rescueStationNorth_market,corridor_securityCheckEast_cemetery,securityCheckWest,corridor_excavationShaftA_securityCheckWest,corridor_welfareStationWest_squareNorth,corridor_electrolysisStationSouth_squareSouth,corridor_excavationShaftA_reservoirWest,corridor_techSchool_constructionYardSouth,corridor_tankArray_recycleFacilityEast,corridor_squareNorth_constructionYardNorth,infrastructureHeadquarters,electrolysisStationNorth,corridor_rescueStationNorth_recycleFacilityEast,corridor_recycleFacilityWest_squareNorth,corridor_excavationShaftB_miningSchool,market,corridor_rescueStationWest_excavationShaftA,corridor_reservoirEast_farm,corridor_excavationShaftA_rescueStationWest,rescueStationNorth,corridor_squareNorth_welfareStationWest,corridor_farm_reservoirEast,corridor_excavationShaftA_theEngine,corridor_miningSchool_techSchool,corridor_mainControlRoom_securityCheckCenter,ammoniaShop,corridor_securityCheckEast_miningSchool,corridor_squareSouth_welfareStationEast,corridor_outerBarrierWest_recycleFacilityWest,educationHeadquarters,corridor_asteroidMine_outerBarrierEast,squareSouth,corridor_securityCheckCenter_mainControlRoom,constructionYardNorth,reservoirEast,corridor_market_securityCheckCenter,corridor_welfareStationEast_squareSouth,corridor_techSchool_miningSchool,mainControlRoom,corridor_reservoirEast_electrolysisStationSouth,corridor_theEngine_excavationShaftA,constructionYardSouth,corridor_outerBarrierEast_outerBarrierCenter,squareNorth,corridor_securityCheckCenter_squareSouth,corridor_rescueStationSouth_welfareStationEast
2940,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
3000,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
3060,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
3120,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
3180,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
3240,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
3300,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
3360,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
3420,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
3480,0.0,0.0,100.0,53.0,0.0,0.0,25.0,0.0,680.0,25.0,20.0,60.0,75.0,0.0,0.0,0.0,45.0,0.0,540.0,45.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0,145.0,25.0,80.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,25.0,0.0,90.0,130.0,35.0,90.0,0.0,0.0,0.0,0.0,53.0,530.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,440.0,0.0,60.0,55.0,0.0,0.0,0.0,119.0,0.0,0.0,545.0,0.0,330.0,0.0,0.0
